Station        Buoyancy_curve        Load_Curve        Shear_Force        Bending_Moment

-3.50000          0.000000          0.000000          0.000000          0.000000
-3.00000          0.000000          0.000000          0.000000          0.000000
-2.74000          0.000000          0.000000          0.000000          0.000000
-2.06000          0.000000          0.000000          0.000000          0.000000
-1.37000          0.000000          0.000000          0.000000          0.000000
-0.68000          0.000000          0.000000          0.000000          0.000000
0.000000          0.000000          4.332965          1.473208          0.500891
0.020000          0.000000          4.332965          1.559867          0.531222
0.710000          0.000000          4.332965          4.549613          2.638992
1.400000          0.000000          4.381650          7.556155          6.815482
2.090000          0.000000          14.22575          13.97571          14.24397
2.780000          0.549979          19.51797          25.61730          27.90356
3.470000          0.610900          19.45705          39.06369          50.21851
4.160000          1.836493          16.57617          51.49515          81.46130
4.860000          3.642625          15.93848          62.87528          121.4909
5.550000          5.505311          14.07579          73.23020          168.4473
6.240000          7.417072          13.13773          82.61887          222.2152
6.930000          5.982843          4.727857          88.78250          281.3487
7.620000          9.454907          2.229492          91.18278          343.4367
8.310000          13.69662          -2.01222          91.25774          406.3788
9.000000          18.66744          14.20467          95.46413          470.7978
9.700000          24.43366          8.438444          103.3892          540.3964
10.39000          18.15262          32.50898          117.5160          616.6088
11.08000          19.78203          30.87958          139.3851          705.2397
11.77000          21.33627          35.75175          162.3729          809.3463
12.46000          22.86047          34.22755          186.5158          929.7129
13.15000          24.34046          39.46609          211.9401          1067.180
13.84000          25.79800          38.00855          238.6689          1222.640
14.53000          27.31658          41.26110          266.0169          1396.756
15.23000          28.72069          31.64870          291.5353          1591.900
15.92000          30.00698          32.93298          313.8160          1800.746
16.61000          31.37302          31.56694          336.0685          2024.956
17.29999          21.49363          52.05966          364.9196          2266.797
17.99000          29.20331          44.34999          398.1810          2530.067
18.68000          37.45016          36.10313          425.9373          2814.388
19.37000          46.15651          12.39206          442.6682          3114.057
20.07000          55.39868          3.149899          448.1079          3425.828
20.76000          38.00136          14.89975          454.3350          3737.171
21.45000          38.92606          13.97505          464.2968          4054.100
22.13999          39.68726          9.095108          472.2560          4377.210
22.83000          40.51890          8.263462          478.2447          4705.133
23.52000          41.30232          -2.76327          480.1423          5035.777
23.53000          41.30437          -2.76532          480.1146          5040.578
28.07000          45.35556          -6.81652          458.3638          7170.924
32.61000          47.21548          -18.9781          399.8099          9118.979
37.16000          69.15788          -45.6138          252.8631          10603.81
41.70999          34.79134          -11.2472          123.5041          11460.04
46.25000          43.59599          -20.0519          52.45495          11859.47
50.79999          41.42743          -17.8833          -33.8478          11901.80
55.34000          39.01566          -15.4715          -109.563          11576.26
59.88999          38.76948          -6.46211          -159.462          10964.22
64.43000          34.09362          -10.5495          -198.079          10152.60
68.98000          31.37018          -7.82611          -239.884          9156.237
73.52999          28.72705          -5.18299          -269.479          7997.436
78.07000          24.29318          -0.74912          -282.945          6743.430
82.62000          20.03725          3.243912          -277.269          5468.938
87.16000          15.82914          5.231985          -258.029          4253.808
91.70999          15.52156          16.62027          -208.315          3192.873
96.25000          7.365424          10.64802          -146.416          2387.630
98.88999          5.338096          12.04244          -116.465          2040.626
99.29000          5.052619          10.55579          -111.945          1994.943
99.66999          4.775909          10.83250          -107.881          1953.177
100.0599          4.515138          11.09327          -103.606          1911.936
100.4400          4.255611          11.35279          -99.3415          1873.376
100.8200          4.002714          11.60569          -94.9795          1836.455
101.2099          3.749437          9.395514          -90.8842          1800.212
101.5899          3.513545          9.631405          -87.2691          1766.363
101.9700          3.276249          9.868701          -83.5641          1733.904
102.3600          3.043351          10.10159          -79.6699          1702.073
102.7399          1.367918          10.51122          -75.7535          1672.543
103.1200          1.571102          10.30803          -71.7978          1644.508
103.5100          1.737038          10.14210          -67.8100          1617.284
103.8899          1.863521          10.30773          -63.9245          1592.255
104.2699          1.953837          10.21741          -60.0248          1568.705
104.6600          2.022118          10.14913          -56.0532          1546.069
105.0400          2.067704          23.73534          -49.6152          1525.992
105.4199          2.079886          23.72316          -40.5982          1508.852
105.8000          2.059230          23.74382          -31.5794          1495.138
106.1900          1.201575          22.36196          -22.5887          1484.575
106.5700          1.044452          22.51908          -14.0614          1477.612
106.9499          0.893347          22.67019          -5.47554          1473.900
107.3399          0.747189          10.96642          1.083581          1473.043
107.7200          0.611459          11.10215          5.276664          1474.252
108.0999          0.475747          11.23786          9.521236          1477.063
108.4899          0.363083          6.482028          12.97660          1481.450
108.8700          0.258458          6.586653          15.45969          1486.853
109.2500          0.166755          6.678356          17.98002          1493.207
109.6399          0.039062          6.806049          20.60948          1500.732
110.0000          0.018781          6.806856          23.05980          1508.592
110.0199          0.019413          6.806224          23.19591          1509.055
110.4000          0.004307          6.821330          25.78518          1518.361
110.7900          0.000000          4.849026          28.06089          1528.861
111.1699          0.000000          4.849026          29.90351          1539.874
111.5500          0.000000          4.849026          31.74616          1551.588
111.9400          0.000000          4.849026          33.63728          1564.338
112.3200          0.000000          3.446898          35.21350          1577.419
112.6999          0.000000          3.446898          36.52331          1591.049
113.0899          0.000000          3.446898          37.86759          1605.555
113.2799          0.000000          1.947400          38.38006          1612.799
113.4700          0.000000          1.947400          38.75007          1620.126
113.8499          0.000000          1.947400          39.49008          1634.992
