Station        Buoyancy_curve        Load_Tank        Shear_Tank        Bending_Tank

-3.50000          0.000000          0.000000          0.000000          0.000000
-3.00000          0.000000          0.000000          0.000000          0.000000
-2.74000          0.000000          0.000000          0.000000          0.000000
-2.06000          0.000000          0.000000          0.000000          0.000000
-1.37000          0.000000          0.000000          0.000000          0.000000
-0.68000          0.000000          0.000000          0.000000          0.000000
0.000000          0.000000          4.332965          1.473208          0.500891
0.020000          0.000000          4.332965          1.559867          0.531222
0.710000          0.000000          4.332965          4.549613          2.638992
1.400000          0.000000          4.381650          7.556155          6.815482
2.090000          0.000000          16.13970          14.63602          14.47178
2.780000          0.549979          21.20507          27.51997          29.01560
3.470000          0.610900          20.91730          42.05219          53.01800
4.160000          1.836493          17.80956          55.41296          86.64347
4.860000          3.642625          16.94173          67.57592          129.6895
5.550000          5.505311          14.85219          78.54483          180.1012
6.240000          7.417072          13.68728          88.39094          237.6940
6.930000          5.982843          5.050558          94.85549          300.9140
7.620000          9.454907          2.475304          97.45192          367.2601
8.310000          13.69662          -1.74690          97.70321          434.5887
9.000000          18.66744          14.48951          102.0994          503.5205
9.700000          24.43366          8.743078          110.2308          577.8361
10.39000          18.15262          32.83313          124.5746          658.8441
11.08000          19.78203          31.22324          146.6740          752.4248
11.77000          21.33627          36.11492          169.9057          861.6449
12.46000          22.86047          34.61024          194.3059          987.2979
13.15000          24.34046          39.86830          220.0010          1130.233
13.84000          25.79800          38.43026          247.0140          1291.354
14.53000          27.31658          41.70233          274.6597          1471.331
15.23000          28.72069          32.10972          300.4939          1672.635
15.92000          30.00698          33.41352          323.0994          1887.775
16.61000          31.37302          32.06699          345.6902          2118.507
17.29999          21.49363          52.57922          374.8931          2367.108
17.99000          29.20331          44.88906          408.5197          2637.386
18.68000          37.45016          36.68603          436.6631          2928.974
19.37000          46.15651          13.08764          453.8351          3236.196
20.07000          55.39868          3.921513          459.7883          3555.964
20.76000          38.00136          15.71633          466.5633          3875.555
21.45000          38.92606          14.83659          477.1041          4201.121
22.13999          39.68726          10.00161          485.6732          4533.279
22.83000          40.51890          9.207420          492.3004          4870.680
23.52000          41.30232          -1.81422          494.8510          5211.248
23.53000          41.30437          -1.81620          494.8329          5216.196
28.07000          45.35556          -5.83387          477.4672          7423.317
32.61000          47.21548          -17.9620          423.4505          9468.401
37.16000          69.15788          -44.5640          281.2037          11071.48
41.70999          34.79134          -10.1639          156.6976          12067.71
46.25000          43.59599          -18.9350          90.64292          12629.17
50.79999          41.42743          -16.7329          9.498331          12856.99
55.34000          39.01566          -14.2876          -60.9182          12740.27
59.88999          38.76948          -5.24454          -105.353          12362.00
64.43000          34.09362          -9.29846          -138.366          11808.76
68.98000          31.37018          -6.54142          -174.402          11097.21
73.52999          28.72705          -3.86471          -198.076          10249.82
78.07000          24.29318          0.602678          -205.481          9333.748
82.62000          20.03725          4.629307          -193.578          8425.887
87.16000          15.82914          6.650898          -167.972          7605.167
91.70999          15.52156          16.62027          -115.030          6961.337
96.25000          7.365424          10.64802          -53.1312          6579.610
98.88999          5.338096          12.04244          -23.1798          6478.879
99.29000          5.052619          10.55579          -18.6602          6470.511
99.66999          4.775909          10.83250          -14.5964          6464.192
100.0599          4.515138          11.09327          -10.3209          6459.333
100.4400          4.255611          11.35279          -6.05613          6456.222
100.8200          4.002714          11.60569          -1.69405          6454.749
101.2099          3.749437          9.395514          2.401177          6454.887
101.5899          3.513545          9.631405          6.016265          6456.486
101.9700          3.276249          9.868701          9.721334          6459.476
102.3600          3.043351          10.10159          13.61553          6464.027
102.7399          1.367918          10.51122          17.53194          6469.945
103.1200          1.571102          10.30803          21.48765          6477.358
103.5100          1.737038          10.14210          25.47542          6486.516
103.8899          1.863521          10.30773          29.36086          6496.935
104.2699          1.953837          10.21741          33.26061          6508.833
104.6600          2.022118          10.14913          37.23215          6522.579
105.0400          2.067704          23.73534          43.67016          6537.950
105.4199          2.079886          23.72316          52.68721          6556.258
105.8000          2.059230          23.74382          61.70605          6577.993
106.1900          1.201575          22.36196          70.69667          6603.811
106.5700          1.044452          22.51908          79.22400          6632.296
106.9499          0.893347          22.67019          87.80990          6664.032
107.3399          0.747189          10.96642          94.36903          6699.557
107.7200          0.611459          11.10215          98.56211          6736.214
108.0999          0.475747          11.23786          102.8066          6774.474
108.4899          0.363083          6.482028          106.2620          6815.243
108.8700          0.258458          6.586653          108.7451          6856.095
109.2500          0.166755          6.678356          111.2654          6897.896
109.6399          0.039062          6.806049          113.8949          6941.803
110.0000          0.018781          6.806856          116.3452          6983.246
110.0199          0.019413          6.806224          116.4813          6985.574
110.4000          0.004307          6.821330          119.0706          7030.329
110.7900          0.000000          4.849026          121.3463          7077.210
111.1699          0.000000          4.849026          123.1889          7123.672
111.5500          0.000000          4.849026          125.0316          7170.834
111.9400          0.000000          4.849026          126.9227          7219.965
112.3200          0.000000          3.446898          128.4989          7268.495
112.6999          0.000000          3.446898          129.8087          7317.573
113.0899          0.000000          3.446898          131.1530          7368.461
113.2799          0.000000          1.947400          131.6655          7393.429
113.4700          0.000000          1.947400          132.0355          7418.481
113.8499          0.000000          1.947400          132.7755          7468.795
