Draft             Vol             mass             LCB             WPA             LCF

0.000000        7.749536        7.943274        57.16120        621.1638        59.18273
0.100000        107.0050        109.6801        56.35835        1063.037        55.86827
0.200000        216.1124        221.5152        56.09822        1116.181        55.83930
0.300000        329.7712        338.0155        56.01532        1155.925        55.88301
0.400000        447.0786        458.2555        55.98750        1189.503        55.94362
0.500000        567.5011        581.6886        55.98764        1218.370        56.02594
0.600000        690.6378        707.9038        56.00034        1244.007        56.09215
0.700000        816.1981        836.6030        56.01953        1266.898        56.15878
0.800000        943.9343        967.5327        56.04265        1287.373        56.21885
0.900000        1073.595        1100.435        56.06747        1305.531        56.27845
1.000000        1204.987        1235.112        56.09328        1321.922        56.32852
1.100000        1337.915        1371.363        56.11885        1336.398        56.37321
1.200000        1472.199        1509.004        56.14439        1349.078        56.42314
1.300000        1607.682        1647.874        56.16966        1360.397        56.46302
1.400000        1744.246        1787.853        56.19429        1370.774        56.50359
1.500000        1881.809        1928.855        56.21850        1380.201        56.54634
1.600000        2020.262        2070.769        56.24224        1388.673        56.58140
1.700000        2159.522        2213.510        56.26516        1396.471        56.61427
1.800000        2299.517        2357.005        56.28752        1403.347        56.65233
1.900000        2440.202        2501.207        56.30964        1410.289        56.69179
2.000000        2581.555        2646.093        56.33161        1416.762        56.73178
2.100000        2723.543        2791.632        56.35334        1423.145        56.76137
2.200000        2866.139        2937.793        56.37455        1428.690        56.79820
2.300000        3009.283        3084.516        56.39551        1434.094        56.83241
2.400000        3152.939        3231.762        56.41640        1438.959        56.87501
2.500000        3297.079        3379.506        56.43735        1443.866        56.91406
2.600000        3441.694        3527.736        56.45817        1448.411        56.95478
2.700000        3586.747        3676.416        56.47913        1452.607        56.99818
2.800000        3732.208        3825.513        56.50032        1456.576        57.04669
2.900000        3878.069        3975.020        56.52158        1460.647        57.08372
3.000000        4024.357        4124.966        56.54256        1465.121        57.11349
3.100000        4171.088        4275.365        56.56308        1469.464        57.13808
3.200000        4318.248        4426.204        56.58297        1473.746        57.15312
3.300000        4465.839        4577.485        56.60212        1478.193        57.16737
3.400000        4613.889        4729.236        56.62022        1482.747        57.16765
3.500000        4762.389        4881.448        56.63730        1487.267        57.16723
3.600000        4911.356        5034.140        56.65329        1492.100        57.16196
3.700000        5060.794        5187.314        56.66815        1496.703        57.15096
3.800000        5210.703        5340.971        56.68184        1501.463        57.13668
3.900000        5361.083        5495.109        56.69430        1506.104        57.11507
4.000000        5511.948        5649.747        56.70552        1511.190        57.09463
4.100000        5663.303        5804.885        56.71566        1515.944        57.07176
4.200000        5815.131        5960.510        56.72452        1520.682        57.03695
4.300000        5967.439        6116.625        56.73200        1525.494        56.99999
4.400000        6120.233        6273.239        56.73823        1530.359        56.96097
4.500000        6273.520        6430.357        56.74307        1535.399        56.91093
4.600000        6427.321        6588.004        56.74633        1540.725        56.84550
4.700000        6581.656        6746.197        56.74789        1545.969        56.77722
4.800000        6736.546        6904.960        56.74768        1551.894        56.69816
4.900000        6892.028        7064.329        56.74549        1557.734        56.60173
5.000000        7048.110        7224.312        56.74115        1563.964        56.49365
5.100000        7204.821        7384.941        56.73451        1570.301        56.37733
5.200000        7362.190        7546.245        56.72550        1577.169        56.24563
5.300000        7520.252        7708.259        56.71387        1584.051        56.09866
5.400000        7679.037        7871.013        56.69960        1591.676        55.94743
5.500000        7838.582        8034.546        56.68258        1599.248        55.77664
5.600000        7998.916        8198.889        56.66253        1607.519        55.58543
5.700000        8160.095        8364.097        56.63929        1616.159        55.38126
5.800000        8322.141        8530.195        56.61267        1624.774        55.16246
5.900000        8485.084        8697.211        56.58255        1634.261        54.92084
6.000000        8648.961        8865.185        56.54901        1642.937        54.71617
6.100000        8813.853        9034.200        56.51190        1653.416        54.46103
6.200000        8979.835        9204.332        56.47099        1664.825        54.18367
6.300000        9146.941        9375.615        56.42646        1676.858        53.90042
6.400000        9315.178        9548.058        56.37872        1688.563        53.64495
6.500000        9484.651        9721.767        56.32752        1701.723        53.35578
6.600000        9655.503        9896.891        56.27228        1714.971        53.07015
6.700000        9827.541        10073.23        56.21445        1725.511        52.87941
6.800000        10000.56        10250.58        56.15543        1734.789        52.73555
6.900000        10174.50        10428.86        56.09584        1743.735        52.60581
7.000000        10349.28        10608.01        56.03596        1751.924        52.49734
7.100000        10524.86        10787.98        55.97628        1759.649        52.42240
7.200000        10701.20        10968.73        55.91716        1767.113        52.35699
7.300000        10878.27        11150.22        55.85873        1774.224        52.29683
7.400000        11056.04        11332.44        55.80109        1781.154        52.25150
7.500000        11234.50        11515.36        55.74437        1787.942        52.21407
7.600000        11413.62        11698.96        55.68872        1794.541        52.18462
7.700000        11593.40        11883.24        55.63417        1801.097        52.15734
7.800000        11773.84        12068.18        55.58073        1807.518        52.13896
7.900000        11954.89        12253.76        55.52848        1813.583        52.12031
8.000000        12136.56        12439.98        55.47735        1819.914        52.10659
8.100000        12318.85        12626.82        55.42739        1825.827        52.09903
8.200000        12501.73        12814.27        55.37873        1831.666        52.09836
8.300000        12685.17        13002.30        55.33132        1837.163        52.10519
8.400000        12869.15        13190.88        55.28525        1842.421        52.11144
8.500000        13053.67        13380.01        55.24050        1847.783        52.12694
8.600000        13238.70        13569.67        55.19706        1852.881        52.14324
8.700000        13424.24        13759.85        55.15498        1857.910        52.16123
8.800000        13610.29        13950.55        55.11424        1862.969        52.18788
8.900000        13796.81        14141.74        55.07484        1867.567        52.21087
9.000000        13983.79        14333.39        55.03678        1872.036        52.24427
